

=== Predictions on test data ===

    inst#     actual  predicted error prediction
     3915        1:?   1:lncRNA       0.852 
     3916        1:?     2:mRNA       0.596 
     3917        1:?   1:lncRNA       0.852 
     3918        1:?     2:mRNA       1 
     3919        1:?     2:mRNA       1 
     3920        1:?     2:mRNA       1 
     3921        1:?   1:lncRNA       0.852 
     3922        1:?   1:lncRNA       0.852 
     3923        1:?   1:lncRNA       0.697 
     3924        1:?   1:lncRNA       0.763 
     3925        1:?   1:lncRNA       0.852 
     3926        1:?   1:lncRNA       0.852 
     3927        1:?   1:lncRNA       0.852 
     3928        1:?   1:lncRNA       0.852 
     3929        1:?   1:lncRNA       0.852 
     3930        1:?   1:lncRNA       0.852 
     3931        1:?   1:lncRNA       0.697 
     3932        1:?   1:lncRNA       0.863 
     3933        1:?   1:lncRNA       0.863 
     3934        1:?   1:lncRNA       0.852 
     3935        1:?   1:lncRNA       0.852 
     3936        1:?   1:lncRNA       0.852 
     3937        1:?   1:lncRNA       0.852 
     3938        1:?   1:lncRNA       0.825 
     3939        1:?   1:lncRNA       0.825 
     3940        1:?   1:lncRNA       0.825 
     3941        1:?   1:lncRNA       0.852 
     3942        1:?   1:lncRNA       0.863 
     3943        1:?   1:lncRNA       0.863 
     3944        1:?   1:lncRNA       0.863 
     3945        1:?   1:lncRNA       0.863 
     3946        1:?   1:lncRNA       0.782 
     3947        1:?   1:lncRNA       0.852 
     3948        1:?   1:lncRNA       0.782 
     3949        1:?   1:lncRNA       0.863 
     3950        1:?     2:mRNA       1 
     3951        1:?     2:mRNA       1 
     3952        1:?     2:mRNA       1 
     3953        1:?   1:lncRNA       0.863 
     3954        1:?   1:lncRNA       0.863 
     3955        1:?     2:mRNA       0.596 
     3956        1:?   1:lncRNA       0.852 
     3957        1:?   1:lncRNA       0.863 
     3958        1:?   1:lncRNA       0.863 
     3959        1:?   1:lncRNA       0.852 
     3960        1:?   1:lncRNA       0.852 
     3961        1:?   1:lncRNA       0.782 
     3962        1:?   1:lncRNA       0.863 
     3963        1:?   1:lncRNA       0.782 
     3964        1:?   1:lncRNA       0.863 
     3965        1:?   1:lncRNA       0.782 
     3966        1:?     2:mRNA       0.596 
     3967        1:?   1:lncRNA       0.825 
     3968        1:?   1:lncRNA       0.697 
     3969        1:?     2:mRNA       0.596 
     3970        1:?     2:mRNA       1 
     3971        1:?     2:mRNA       1 
     3972        1:?   1:lncRNA       0.852 
     3973        1:?     2:mRNA       0.596 
     3974        1:?     2:mRNA       0.596 
     3975        1:?   1:lncRNA       0.852 
     3976        1:?   1:lncRNA       0.852 
     3977        1:?     2:mRNA       1 
     3978        1:?     2:mRNA       1 
     3979        1:?   1:lncRNA       0.825 
     3980        1:?     2:mRNA       0.596 
     3981        1:?     2:mRNA       1 
     3982        1:?   1:lncRNA       0.76 
     3983        1:?   1:lncRNA       0.863 
     3984        1:?   1:lncRNA       0.863 
     3985        1:?   1:lncRNA       0.863 
     3986        1:?   1:lncRNA       0.782 
     3987        1:?   1:lncRNA       0.863 
     3988        1:?   1:lncRNA       0.852 
     3989        1:?   1:lncRNA       0.863 
     3990        1:?   1:lncRNA       0.697 
     3991        1:?   1:lncRNA       0.852 
     3992        1:?   1:lncRNA       0.697 
     3993        1:?   1:lncRNA       0.763 
     3994        1:?   1:lncRNA       0.825 
     3995        1:?   1:lncRNA       0.697 
     3996        1:?   1:lncRNA       0.697 
     3997        1:?   1:lncRNA       0.863 
     3998        1:?     2:mRNA       1 
     3999        1:?   1:lncRNA       0.863 
     4000        1:?   1:lncRNA       0.852 
     4001        1:?   1:lncRNA       0.852 
     4002        1:?   1:lncRNA       0.852 
     4003        1:?   1:lncRNA       0.852 
     4004        1:?   1:lncRNA       0.852 
     4005        1:?   1:lncRNA       0.863 
     4006        1:?   1:lncRNA       0.863 
     4007        1:?   1:lncRNA       0.852 
     4008        1:?     2:mRNA       1 
     4009        1:?     2:mRNA       1 
     4010        1:?     2:mRNA       1 
     4011        1:?   1:lncRNA       0.852 
     4012        1:?     2:mRNA       1 
     4013        1:?     2:mRNA       1 
     4014        1:?     2:mRNA       1 
     4015        1:?     2:mRNA       1 
     4016        1:?   1:lncRNA       0.863 
     4017        1:?     2:mRNA       1 
     4018        1:?   1:lncRNA       0.852 
     4019        1:?   1:lncRNA       0.852 
     4020        1:?   1:lncRNA       0.863 
     4021        1:?   1:lncRNA       0.863 
     4022        1:?   1:lncRNA       0.863 
     4023        1:?   1:lncRNA       0.863 
     4024        1:?   1:lncRNA       0.852 
     4025        1:?   1:lncRNA       0.863 
     4026        1:?   1:lncRNA       0.863 
     4027        1:?   1:lncRNA       0.852 
     4028        1:?   1:lncRNA       0.863 
     4029        1:?   1:lncRNA       0.863 
     4030        1:?   1:lncRNA       0.852 
     4031        1:?   1:lncRNA       0.863 
     4032        1:?   1:lncRNA       0.863 
     4033        1:?   1:lncRNA       0.863 
     4034        1:?   1:lncRNA       0.852 
     4035        1:?   1:lncRNA       0.852 
     4036        1:?   1:lncRNA       0.863 
     4037        1:?     2:mRNA       1 
     4038        1:?   1:lncRNA       0.863 
     4039        1:?   1:lncRNA       0.852 
     4040        1:?   1:lncRNA       0.852 
     4041        1:?     2:mRNA       0.596 
     4042        1:?   1:lncRNA       0.863 
     4043        1:?   1:lncRNA       0.852 
     4044        1:?   1:lncRNA       0.863 
     4045        1:?   1:lncRNA       0.863 
     4046        1:?   1:lncRNA       0.852 
     4047        1:?   1:lncRNA       0.763 
     4048        1:?   1:lncRNA       0.763 
     4049        1:?     2:mRNA       1 
     4050        1:?   1:lncRNA       0.763 
     4051        1:?   1:lncRNA       0.763 
     4052        1:?   1:lncRNA       0.763 
     4053        1:?   1:lncRNA       0.763 
     4054        1:?     2:mRNA       0.706 
     4055        1:?   1:lncRNA       0.763 
     4056        1:?   1:lncRNA       0.763 
     4057        1:?   1:lncRNA       0.763 
     4058        1:?     2:mRNA       1 
     4059        1:?     2:mRNA       0.596 
     4060        1:?     2:mRNA       0.596 
     4061        1:?     2:mRNA       0.596 
     4062        1:?   1:lncRNA       0.763 
     4063        1:?     2:mRNA       0.596 
     4064        1:?   1:lncRNA       0.763 
     4065        1:?   1:lncRNA       0.763 
     4066        1:?     2:mRNA       0.596 
     4067        1:?   1:lncRNA       0.852 
     4068        1:?   1:lncRNA       0.863 
     4069        1:?   1:lncRNA       0.852 
     4070        1:?   1:lncRNA       0.863 
     4071        1:?   1:lncRNA       0.863 
     4072        1:?   1:lncRNA       0.863 
     4073        1:?   1:lncRNA       0.852 
     4074        1:?     2:mRNA       1 
     4075        1:?     2:mRNA       1 
     4076        1:?   1:lncRNA       0.852 
     4077        1:?   1:lncRNA       0.863 
     4078        1:?   1:lncRNA       0.863 
     4079        1:?   1:lncRNA       0.852 
     4080        1:?   1:lncRNA       0.863 
     4081        1:?     2:mRNA       0.596 
     4082        1:?     2:mRNA       0.596 
     4083        1:?     2:mRNA       0.596 
     4084        1:?     2:mRNA       0.596 
     4085        1:?     2:mRNA       0.596 
     4086        1:?     2:mRNA       0.596 
     4087        1:?     2:mRNA       0.596 
     4088        1:?     2:mRNA       0.596 
     4089        1:?     2:mRNA       0.596 
     4090        1:?     2:mRNA       0.596 
     4091        1:?     2:mRNA       0.596 
     4092        1:?     2:mRNA       0.596 
     4093        1:?     2:mRNA       0.596 
     4094        1:?     2:mRNA       0.596 
     4095        1:?     2:mRNA       0.596 
     4096        1:?     2:mRNA       0.596 
     4097        1:?   1:lncRNA       0.852 
     4098        1:?   1:lncRNA       0.852 
     4099        1:?   1:lncRNA       0.863 
     4100        1:?     2:mRNA       1 
     4101        1:?     2:mRNA       1 
     4102        1:?     2:mRNA       1 
     4103        1:?     2:mRNA       1 
     4104        1:?     2:mRNA       1 
     4105        1:?     2:mRNA       1 
     4106        1:?   1:lncRNA       0.825 
     4107        1:?   1:lncRNA       0.852 
     4108        1:?   1:lncRNA       0.863 
     4109        1:?   1:lncRNA       0.863 
     4110        1:?   1:lncRNA       0.852 
     4111        1:?   1:lncRNA       0.782 
     4112        1:?     2:mRNA       1 
     4113        1:?   1:lncRNA       0.852 
     4114        1:?   1:lncRNA       0.852 
     4115        1:?   1:lncRNA       0.852 
     4116        1:?   1:lncRNA       0.852 
     4117        1:?   1:lncRNA       0.852 
     4118        1:?   1:lncRNA       0.852 
     4119        1:?   1:lncRNA       0.852 
     4120        1:?   1:lncRNA       0.852 
     4121        1:?     2:mRNA       1 
     4122        1:?   1:lncRNA       0.852 
     4123        1:?     2:mRNA       1 
     4124        1:?   1:lncRNA       0.863 
     4125        1:?   1:lncRNA       0.852 
     4126        1:?   1:lncRNA       0.852 
     4127        1:?   1:lncRNA       0.852 
     4128        1:?   1:lncRNA       0.863 
     4129        1:?   1:lncRNA       0.852 
     4130        1:?   1:lncRNA       0.763 
     4131        1:?   1:lncRNA       0.852 
     4132        1:?   1:lncRNA       0.863 
     4133        1:?     2:mRNA       0.596 
     4134        1:?   1:lncRNA       0.852 
     4135        1:?     2:mRNA       0.596 
     4136        1:?   1:lncRNA       0.863 
     4137        1:?   1:lncRNA       0.852 
     4138        1:?   1:lncRNA       0.863 
     4139        1:?   1:lncRNA       0.863 
     4140        1:?   1:lncRNA       0.782 
     4141        1:?   1:lncRNA       0.782 
     4142        1:?   1:lncRNA       0.852 
     4143        1:?   1:lncRNA       0.852 
     4144        1:?   1:lncRNA       0.863 
     4145        1:?   1:lncRNA       0.852 
     4146        1:?   1:lncRNA       0.852 
     4147        1:?     2:mRNA       1 
     4148        1:?     2:mRNA       0.596 
     4149        1:?     2:mRNA       0.596 
     4150        1:?     2:mRNA       0.596 
     4151        1:?   1:lncRNA       0.852 
     4152        1:?   1:lncRNA       0.852 
     4153        1:?   1:lncRNA       0.852 
     4154        1:?     2:mRNA       0.596 
     4155        1:?     2:mRNA       0.596 
     4156        1:?     2:mRNA       0.596 
     4157        1:?   1:lncRNA       0.852 
     4158        1:?   1:lncRNA       0.852 
     4159        1:?   1:lncRNA       0.852 
     4160        1:?   1:lncRNA       0.852 
     4161        1:?     2:mRNA       1 
     4162        1:?   1:lncRNA       0.852 
     4163        1:?   1:lncRNA       0.852 
     4164        1:?   1:lncRNA       0.852 
     4165        1:?   1:lncRNA       0.852 
     4166        1:?   1:lncRNA       0.852 
     4167        1:?   1:lncRNA       0.76 
     4168        1:?     2:mRNA       1 
     4169        1:?   1:lncRNA       0.863 
     4170        1:?   1:lncRNA       0.863 
     4171        1:?   1:lncRNA       0.852 
     4172        1:?     2:mRNA       1 
     4173        1:?     2:mRNA       1 
     4174        1:?   1:lncRNA       0.852 
     4175        1:?     2:mRNA       0.596 
     4176        1:?   1:lncRNA       0.852 
     4177        1:?   1:lncRNA       0.782 
     4178        1:?   1:lncRNA       0.852 
     4179        1:?   1:lncRNA       0.852 
     4180        1:?   1:lncRNA       0.782 
     4181        1:?   1:lncRNA       0.863 
     4182        1:?   1:lncRNA       0.852 
     4183        1:?   1:lncRNA       0.863 
     4184        1:?   1:lncRNA       0.852 
     4185        1:?   1:lncRNA       0.852 
     4186        1:?   1:lncRNA       0.852 
     4187        1:?     2:mRNA       1 
     4188        1:?     2:mRNA       0.596 
     4189        1:?     2:mRNA       0.596 
     4190        1:?   1:lncRNA       0.852 
     4191        1:?   1:lncRNA       0.852 
     4192        1:?   1:lncRNA       0.852 
     4193        1:?   1:lncRNA       0.863 
     4194        1:?   1:lncRNA       0.863 
     4195        1:?   1:lncRNA       0.863 
     4196        1:?     2:mRNA       1 
     4197        1:?   1:lncRNA       0.852 
     4198        1:?   1:lncRNA       0.863 
     4199        1:?   1:lncRNA       0.863 
     4200        1:?     2:mRNA       1 
     4201        1:?     2:mRNA       0.596 
     4202        1:?   1:lncRNA       0.852 
     4203        1:?     2:mRNA       0.596 
     4204        1:?     2:mRNA       1 
     4205        1:?     2:mRNA       1 
     4206        1:?     2:mRNA       1 
     4207        1:?     2:mRNA       1 
     4208        1:?     2:mRNA       1 
     4209        1:?   1:lncRNA       0.852 
     4210        1:?   1:lncRNA       0.863 
     4211        1:?   1:lncRNA       0.863 
     4212        1:?   1:lncRNA       0.863 
     4213        1:?   1:lncRNA       0.852 
     4214        1:?   1:lncRNA       0.863 
     4215        1:?     2:mRNA       1 
     4216        1:?     2:mRNA       1 
     4217        1:?   1:lncRNA       0.782 
     4218        1:?   1:lncRNA       0.863 
     4219        1:?   1:lncRNA       0.852 
     4220        1:?   1:lncRNA       0.852 
     4221        1:?   1:lncRNA       0.852 
     4222        1:?   1:lncRNA       0.863 
     4223        1:?   1:lncRNA       0.863 
     4224        1:?     2:mRNA       1 
     4225        1:?   1:lncRNA       0.852 
     4226        1:?   1:lncRNA       0.852 
     4227        1:?   1:lncRNA       0.852 
     4228        1:?   1:lncRNA       0.852 
     4229        1:?     2:mRNA       1 
     4230        1:?   1:lncRNA       0.782 
     4231        1:?     2:mRNA       1 
     4232        1:?   1:lncRNA       0.782 
     4233        1:?   1:lncRNA       0.782 
     4234        1:?     2:mRNA       0.596 
     4235        1:?   1:lncRNA       0.852 
     4236        1:?   1:lncRNA       0.852 
     4237        1:?   1:lncRNA       0.852 
     4238        1:?   1:lncRNA       0.852 
     4239        1:?   1:lncRNA       0.852 
     4240        1:?   1:lncRNA       0.863 
     4241        1:?   1:lncRNA       0.863 
     4242        1:?   1:lncRNA       0.863 
     4243        1:?   1:lncRNA       0.852 
     4244        1:?   1:lncRNA       0.697 
     4245        1:?   1:lncRNA       0.852 
     4246        1:?   1:lncRNA       0.763 
     4247        1:?   1:lncRNA       0.863 
     4248        1:?     2:mRNA       0.596 
     4249        1:?   1:lncRNA       0.697 
     4250        1:?     2:mRNA       0.596 
     4251        1:?   1:lncRNA       0.852 
     4252        1:?   1:lncRNA       0.852 
     4253        1:?     2:mRNA       1 
     4254        1:?     2:mRNA       1 
     4255        1:?     2:mRNA       1 
     4256        1:?     2:mRNA       1 
     4257        1:?     2:mRNA       1 
     4258        1:?     2:mRNA       1 
     4259        1:?     2:mRNA       1 
     4260        1:?     2:mRNA       1 
     4261        1:?     2:mRNA       1 
     4262        1:?     2:mRNA       1 
     4263        1:?     2:mRNA       1 
     4264        1:?     2:mRNA       1 
     4265        1:?     2:mRNA       1 
     4266        1:?   1:lncRNA       0.863 
     4267        1:?   1:lncRNA       0.852 
     4268        1:?     2:mRNA       1 
     4269        1:?   1:lncRNA       0.782 
     4270        1:?     2:mRNA       1 
     4271        1:?     2:mRNA       1 
     4272        1:?   1:lncRNA       0.863 
     4273        1:?   1:lncRNA       0.852 
     4274        1:?   1:lncRNA       0.852 
     4275        1:?   1:lncRNA       0.852 
     4276        1:?   1:lncRNA       0.852 
     4277        1:?   1:lncRNA       0.782 
     4278        1:?     2:mRNA       1 
     4279        1:?     2:mRNA       1 
     4280        1:?     2:mRNA       1 
     4281        1:?   1:lncRNA       0.863 
     4282        1:?   1:lncRNA       0.697 
     4283        1:?   1:lncRNA       0.852 
     4284        1:?     2:mRNA       1 
     4285        1:?   1:lncRNA       0.782 
     4286        1:?     2:mRNA       1 
     4287        1:?   1:lncRNA       0.852 
     4288        1:?   1:lncRNA       0.76 
     4289        1:?   1:lncRNA       0.852 
     4290        1:?   1:lncRNA       0.852 
     4291        1:?   1:lncRNA       0.863 
     4292        1:?   1:lncRNA       0.852 
     4293        1:?   1:lncRNA       0.863 
     4294        1:?   1:lncRNA       0.863 
     4295        1:?   1:lncRNA       0.852 
     4296        1:?   1:lncRNA       0.852 
     4297        1:?   1:lncRNA       0.863 
     4298        1:?   1:lncRNA       0.863 
     4299        1:?   1:lncRNA       0.852 
     4300        1:?     2:mRNA       1 
     4301        1:?   1:lncRNA       0.852 
     4302        1:?   1:lncRNA       0.852 
     4303        1:?   1:lncRNA       0.852 
     4304        1:?   1:lncRNA       0.763 
     4305        1:?     2:mRNA       0.596 
     4306        1:?     2:mRNA       0.596 
     4307        1:?   1:lncRNA       0.852 
     4308        1:?   1:lncRNA       0.852 
     4309        1:?   1:lncRNA       0.863 
     4310        1:?   1:lncRNA       0.852 
     4311        1:?   1:lncRNA       0.852 
     4312        1:?   1:lncRNA       0.852 
     4313        1:?   1:lncRNA       0.852 
     4314        1:?   1:lncRNA       0.782 
     4315        1:?     2:mRNA       1 
     4316        1:?     2:mRNA       1 
     4317        1:?   1:lncRNA       0.852 
     4318        1:?   1:lncRNA       0.852 
     4319        1:?     2:mRNA       1 
     4320        1:?     2:mRNA       1 
     4321        1:?     2:mRNA       1 
     4322        1:?   1:lncRNA       0.863 
     4323        1:?   1:lncRNA       0.863 
     4324        1:?   1:lncRNA       0.863 
     4325        1:?   1:lncRNA       0.852 
     4326        1:?   1:lncRNA       0.863 
     4327        1:?   1:lncRNA       0.852 
     4328        1:?     2:mRNA       1 
     4329        1:?     2:mRNA       1 
     4330        1:?   1:lncRNA       0.852 
     4331        1:?   1:lncRNA       0.852 
     4332        1:?   1:lncRNA       0.852 
     4333        1:?   1:lncRNA       0.852 
     4334        1:?   1:lncRNA       0.852 
     4335        1:?     2:mRNA       0.596 
     4336        1:?   1:lncRNA       0.697 
     4337        1:?   1:lncRNA       0.852 
     4338        1:?   1:lncRNA       0.852 
     4339        1:?   1:lncRNA       0.863 
     4340        1:?   1:lncRNA       0.782 
     4341        1:?   1:lncRNA       0.852 
     4342        1:?     2:mRNA       0.596 
     4343        1:?   1:lncRNA       0.782 
     4344        1:?   1:lncRNA       0.863 
     4345        1:?   1:lncRNA       0.782 
     4346        1:?   1:lncRNA       0.782 
     4347        1:?   1:lncRNA       0.782 
     4348        1:?   1:lncRNA       0.782 
     4349        1:?   1:lncRNA       0.782 
     4350        1:?     2:mRNA       0.596 
     4351        1:?   1:lncRNA       0.852 
     4352        1:?   1:lncRNA       0.825 
     4353        1:?   1:lncRNA       0.825 
     4354        1:?   1:lncRNA       0.863 
     4355        1:?   1:lncRNA       0.852 
     4356        1:?   1:lncRNA       0.852 
     4357        1:?   1:lncRNA       0.863 
     4358        1:?     2:mRNA       1 
     4359        1:?     2:mRNA       1 
     4360        1:?     2:mRNA       1 
     4361        1:?     2:mRNA       1 
     4362        1:?     2:mRNA       1 
     4363        1:?     2:mRNA       1 
     4364        1:?     2:mRNA       1 
     4365        1:?     2:mRNA       1 
     4366        1:?     2:mRNA       1 
     4367        1:?     2:mRNA       1 
     4368        1:?     2:mRNA       1 
     4369        1:?     2:mRNA       1 
     4370        1:?     2:mRNA       1 
     4371        1:?     2:mRNA       1 
     4372        1:?     2:mRNA       1 
     4373        1:?     2:mRNA       1 
     4374        1:?     2:mRNA       1 
     4375        1:?     2:mRNA       1 
     4376        1:?     2:mRNA       1 
     4377        1:?     2:mRNA       1 
     4378        1:?     2:mRNA       1 
     4379        1:?     2:mRNA       1 
     4380        1:?     2:mRNA       1 
     4381        1:?     2:mRNA       1 
     4382        1:?     2:mRNA       1 
     4383        1:?     2:mRNA       1 
     4384        1:?     2:mRNA       1 
     4385        1:?     2:mRNA       1 
     4386        1:?     2:mRNA       1 
     4387        1:?     2:mRNA       1 
     4388        1:?     2:mRNA       1 
     4389        1:?     2:mRNA       1 
     4390        1:?   1:lncRNA       0.852 
     4391        1:?   1:lncRNA       0.852 
     4392        1:?     2:mRNA       0.596 
     4393        1:?   1:lncRNA       0.852 
     4394        1:?   1:lncRNA       0.852 
     4395        1:?   1:lncRNA       0.852 
     4396        1:?   1:lncRNA       0.852 
     4397        1:?   1:lncRNA       0.852 
     4398        1:?     2:mRNA       1 
     4399        1:?     2:mRNA       1 
     4400        1:?     2:mRNA       1 
     4401        1:?     2:mRNA       1 
     4402        1:?   1:lncRNA       0.852 
     4403        1:?   1:lncRNA       0.852 
     4404        1:?   1:lncRNA       0.863 
     4405        1:?     2:mRNA       1 
     4406        1:?   1:lncRNA       0.852 
     4407        1:?     2:mRNA       0.596 
     4408        1:?   1:lncRNA       0.697 
     4409        1:?   1:lncRNA       0.852 
     4410        1:?     2:mRNA       1 
     4411        1:?   1:lncRNA       0.763 
     4412        1:?   1:lncRNA       0.863 
     4413        1:?   1:lncRNA       0.863 
     4414        1:?     2:mRNA       0.596 
     4415        1:?     2:mRNA       0.596 
     4416        1:?     2:mRNA       0.596 
     4417        1:?   1:lncRNA       0.852 
     4418        1:?   1:lncRNA       0.697 
     4419        1:?   1:lncRNA       0.852 
     4420        1:?     2:mRNA       0.625 
     4421        1:?   1:lncRNA       0.852 
     4422        1:?   1:lncRNA       0.852 
     4423        1:?     2:mRNA       1 
     4424        1:?     2:mRNA       1 
     4425        1:?     2:mRNA       1 
     4426        1:?     2:mRNA       1 
     4427        1:?   1:lncRNA       0.697 
     4428        1:?   1:lncRNA       0.852 
     4429        1:?   1:lncRNA       0.852 
     4430        1:?     2:mRNA       1 
     4431        1:?   1:lncRNA       0.852 
     4432        1:?   1:lncRNA       0.852 
     4433        1:?   1:lncRNA       0.852 
     4434        1:?   1:lncRNA       0.763 
     4435        1:?   1:lncRNA       0.863 
     4436        1:?     2:mRNA       1 
     4437        1:?   1:lncRNA       0.852 
     4438        1:?   1:lncRNA       0.852 
     4439        1:?   1:lncRNA       0.782 
     4440        1:?   1:lncRNA       0.782 
     4441        1:?     2:mRNA       0.596 
     4442        1:?   1:lncRNA       0.697 
     4443        1:?     2:mRNA       0.596 
     4444        1:?     2:mRNA       0.596 
     4445        1:?     2:mRNA       0.596 
     4446        1:?     2:mRNA       0.596 
     4447        1:?     2:mRNA       1 
     4448        1:?     2:mRNA       1 
     4449        1:?     2:mRNA       0.596 
     4450        1:?     2:mRNA       0.596 
     4451        1:?   1:lncRNA       0.782 
     4452        1:?   1:lncRNA       0.852 
     4453        1:?     2:mRNA       1 
     4454        1:?     2:mRNA       1 
     4455        1:?     2:mRNA       1 
     4456        1:?   1:lncRNA       0.782 
     4457        1:?   1:lncRNA       0.782 
     4458        1:?   1:lncRNA       0.852 
     4459        1:?     2:mRNA       1 
     4460        1:?     2:mRNA       1 
     4461        1:?     2:mRNA       1 
     4462        1:?   1:lncRNA       0.863 
     4463        1:?   1:lncRNA       0.863 
     4464        1:?     2:mRNA       1 
     4465        1:?   1:lncRNA       0.782 
     4466        1:?     2:mRNA       1 
     4467        1:?     2:mRNA       1 
     4468        1:?     2:mRNA       1 
     4469        1:?     2:mRNA       1 
     4470        1:?   1:lncRNA       0.852 
     4471        1:?     2:mRNA       1 
     4472        1:?   1:lncRNA       0.782 
     4473        1:?   1:lncRNA       0.782 
     4474        1:?   1:lncRNA       0.863 
     4475        1:?   1:lncRNA       0.863 
     4476        1:?   1:lncRNA       0.863 
     4477        1:?   1:lncRNA       0.76 
     4478        1:?   1:lncRNA       0.852 
     4479        1:?     2:mRNA       1 
     4480        1:?   1:lncRNA       0.782 
     4481        1:?   1:lncRNA       0.852 
     4482        1:?   1:lncRNA       0.852 
     4483        1:?   1:lncRNA       0.863 
     4484        1:?   1:lncRNA       0.863 
     4485        1:?   1:lncRNA       0.852 
     4486        1:?   1:lncRNA       0.852 
     4487        1:?   1:lncRNA       0.825 
     4488        1:?   1:lncRNA       0.852 
     4489        1:?   1:lncRNA       0.825 
     4490        1:?     2:mRNA       1 
     4491        1:?   1:lncRNA       0.852 
     4492        1:?   1:lncRNA       0.852 
     4493        1:?     2:mRNA       1 
     4494        1:?     2:mRNA       1 
     4495        1:?   1:lncRNA       0.852 
     4496        1:?     2:mRNA       1 
     4497        1:?     2:mRNA       1 
     4498        1:?   1:lncRNA       0.782 
     4499        1:?     2:mRNA       1 
     4500        1:?   1:lncRNA       0.852 
     4501        1:?   1:lncRNA       0.782 
     4502        1:?   1:lncRNA       0.863 
     4503        1:?   1:lncRNA       0.863 
     4504        1:?   1:lncRNA       0.852 
     4505        1:?     2:mRNA       1 
     4506        1:?     2:mRNA       1 
     4507        1:?     2:mRNA       1 
     4508        1:?   1:lncRNA       0.863 
     4509        1:?   1:lncRNA       0.76 
     4510        1:?   1:lncRNA       0.697 
     4511        1:?   1:lncRNA       0.697 
     4512        1:?   1:lncRNA       0.852 
     4513        1:?   1:lncRNA       0.852 
     4514        1:?   1:lncRNA       0.852 
     4515        1:?   1:lncRNA       0.76 
     4516        1:?   1:lncRNA       0.76 
     4517        1:?   1:lncRNA       0.852 
     4518        1:?   1:lncRNA       0.863 
     4519        1:?   1:lncRNA       0.852 
     4520        1:?   1:lncRNA       0.852 
     4521        1:?   1:lncRNA       0.782 
     4522        1:?   1:lncRNA       0.782 
     4523        1:?   1:lncRNA       0.863 
     4524        1:?   1:lncRNA       0.852 
     4525        1:?   1:lncRNA       0.863 
     4526        1:?   1:lncRNA       0.852 
     4527        1:?     2:mRNA       1 
     4528        1:?     2:mRNA       1 
     4529        1:?   1:lncRNA       0.782 
     4530        1:?   1:lncRNA       0.852 
     4531        1:?   1:lncRNA       0.852 
     4532        1:?     2:mRNA       0.596 
     4533        1:?     2:mRNA       0.596 
     4534        1:?   1:lncRNA       0.852 
     4535        1:?     2:mRNA       1 
     4536        1:?   1:lncRNA       0.863 
     4537        1:?   1:lncRNA       0.852 
     4538        1:?   1:lncRNA       0.852 
     4539        1:?   1:lncRNA       0.852 
     4540        1:?   1:lncRNA       0.782 
     4541        1:?   1:lncRNA       0.863 
     4542        1:?     2:mRNA       1 
     4543        1:?     2:mRNA       1 
     4544        1:?   1:lncRNA       0.852 
     4545        1:?   1:lncRNA       0.782 
     4546        1:?     2:mRNA       0.596 
     4547        1:?   1:lncRNA       0.863 
     4548        1:?   1:lncRNA       0.852 
     4549        1:?   1:lncRNA       0.852 
     4550        1:?     2:mRNA       0.596 
     4551        1:?   1:lncRNA       0.863 
     4552        1:?     2:mRNA       0.596 
     4553        1:?     2:mRNA       1 
     4554        1:?     2:mRNA       1 
     4555        1:?     2:mRNA       1 
     4556        1:?     2:mRNA       1 
     4557        1:?   1:lncRNA       0.863 
     4558        1:?     2:mRNA       1 
     4559        1:?     2:mRNA       0.596 
     4560        1:?     2:mRNA       1 
     4561        1:?     2:mRNA       1 
     4562        1:?     2:mRNA       1 
     4563        1:?   1:lncRNA       0.782 
     4564        1:?   1:lncRNA       0.852 
     4565        1:?     2:mRNA       1 
     4566        1:?   1:lncRNA       0.825 
     4567        1:?     2:mRNA       1 
     4568        1:?     2:mRNA       1 
     4569        1:?     2:mRNA       1 
     4570        1:?     2:mRNA       1 
     4571        1:?   1:lncRNA       0.782 
     4572        1:?   1:lncRNA       0.852 
     4573        1:?   1:lncRNA       0.863 
     4574        1:?     2:mRNA       1 
     4575        1:?   1:lncRNA       0.863 
     4576        1:?   1:lncRNA       0.863 
     4577        1:?   1:lncRNA       0.863 
     4578        1:?   1:lncRNA       0.863 
     4579        1:?   1:lncRNA       0.852 
     4580        1:?   1:lncRNA       0.852 
     4581        1:?   1:lncRNA       0.863 
     4582        1:?   1:lncRNA       0.782 
     4583        1:?   1:lncRNA       0.852 
     4584        1:?   1:lncRNA       0.852 
     4585        1:?   1:lncRNA       0.863 
     4586        1:?   1:lncRNA       0.863 
     4587        1:?   1:lncRNA       0.782 
     4588        1:?   1:lncRNA       0.852 
     4589        1:?   1:lncRNA       0.863 
     4590        1:?   1:lncRNA       0.852 
     4591        1:?   1:lncRNA       0.852 
     4592        1:?   1:lncRNA       0.852 
     4593        1:?   1:lncRNA       0.852 
     4594        1:?   1:lncRNA       0.852 
     4595        1:?   1:lncRNA       0.852 
     4596        1:?   1:lncRNA       0.863 
     4597        1:?   1:lncRNA       0.852 
     4598        1:?   1:lncRNA       0.852 
     4599        1:?   1:lncRNA       0.852 
     4600        1:?   1:lncRNA       0.863 
     4601        1:?   1:lncRNA       0.852 
     4602        1:?     2:mRNA       1 
     4603        1:?   1:lncRNA       0.852 
     4604        1:?     2:mRNA       1 
     4605        1:?     2:mRNA       1 
     4606        1:?     2:mRNA       1 
     4607        1:?     2:mRNA       1 
