

=== Predictions on test data ===

    inst#     actual  predicted error prediction
      165        1:?   1:lncRNA       0.852 
      166        1:?   1:lncRNA       0.852 
      167        1:?   1:lncRNA       0.863 
      168        1:?     2:mRNA       1 
      169        1:?   1:lncRNA       0.863 
      170        1:?     2:mRNA       1 
      171        1:?   1:lncRNA       0.852 
      172        1:?   1:lncRNA       0.863 
      173        1:?     2:mRNA       1 
      174        1:?     2:mRNA       1 
      175        1:?   1:lncRNA       0.782 
      176        1:?   1:lncRNA       0.863 
      177        1:?   1:lncRNA       0.852 
      178        1:?   1:lncRNA       0.782 
      179        1:?   1:lncRNA       0.782 
      180        1:?   1:lncRNA       0.852 
      181        1:?   1:lncRNA       0.852 
      182        1:?   1:lncRNA       0.852 
      183        1:?   1:lncRNA       0.852 
      184        1:?   1:lncRNA       0.852 
      185        1:?   1:lncRNA       0.852 
      186        1:?   1:lncRNA       0.852 
      187        1:?   1:lncRNA       0.852 
      188        1:?   1:lncRNA       0.852 
      189        1:?   1:lncRNA       0.852 
      190        1:?   1:lncRNA       0.852 
      191        1:?   1:lncRNA       0.852 
      192        1:?     2:mRNA       0.596 
      193        1:?     2:mRNA       0.596 
      194        1:?     2:mRNA       0.596 
      195        1:?     2:mRNA       0.596 
      196        1:?     2:mRNA       0.596 
      197        1:?   1:lncRNA       0.863 
      198        1:?   1:lncRNA       0.863 
      199        1:?   1:lncRNA       0.863 
      200        1:?     2:mRNA       0.596 
      201        1:?     2:mRNA       0.596 
      202        1:?     2:mRNA       0.596 
      203        1:?   1:lncRNA       0.852 
      204        1:?   1:lncRNA       0.852 
      205        1:?   1:lncRNA       0.852 
      206        1:?   1:lncRNA       0.852 
      207        1:?     2:mRNA       0.596 
      208        1:?   1:lncRNA       0.852 
      209        1:?     2:mRNA       0.596 
      210        1:?     2:mRNA       0.596 
      211        1:?     2:mRNA       0.596 
      212        1:?     2:mRNA       1 
      213        1:?     2:mRNA       1 
      214        1:?   1:lncRNA       0.863 
      215        1:?     2:mRNA       0.596 
      216        1:?     2:mRNA       0.596 
      217        1:?   1:lncRNA       0.852 
      218        1:?   1:lncRNA       0.852 
      219        1:?   1:lncRNA       0.863 
      220        1:?   1:lncRNA       0.863 
      221        1:?     2:mRNA       1 
      222        1:?     2:mRNA       1 
      223        1:?   1:lncRNA       0.852 
      224        1:?   1:lncRNA       0.852 
      225        1:?   1:lncRNA       0.852 
      226        1:?   1:lncRNA       0.863 
      227        1:?   1:lncRNA       0.852 
      228        1:?   1:lncRNA       0.852 
      229        1:?   1:lncRNA       0.863 
      230        1:?   1:lncRNA       0.863 
      231        1:?   1:lncRNA       0.863 
      232        1:?   1:lncRNA       0.852 
      233        1:?   1:lncRNA       0.852 
      234        1:?   1:lncRNA       0.852 
      235        1:?   1:lncRNA       0.852 
      236        1:?   1:lncRNA       0.852 
      237        1:?   1:lncRNA       0.852 
      238        1:?   1:lncRNA       0.852 
      239        1:?   1:lncRNA       0.852 
      240        1:?   1:lncRNA       0.852 
      241        1:?     2:mRNA       1 
      242        1:?   1:lncRNA       0.863 
      243        1:?   1:lncRNA       0.863 
      244        1:?   1:lncRNA       0.852 
      245        1:?   1:lncRNA       0.852 
      246        1:?   1:lncRNA       0.863 
      247        1:?     2:mRNA       1 
      248        1:?     2:mRNA       0.596 
      249        1:?   1:lncRNA       0.852 
      250        1:?     2:mRNA       0.596 
      251        1:?     2:mRNA       0.596 
      252        1:?     2:mRNA       0.596 
      253        1:?     2:mRNA       0.596 
      254        1:?     2:mRNA       1 
      255        1:?     2:mRNA       1 
      256        1:?   1:lncRNA       0.763 
      257        1:?     2:mRNA       0.596 
      258        1:?     2:mRNA       1 
      259        1:?   1:lncRNA       0.852 
      260        1:?   1:lncRNA       0.852 
      261        1:?   1:lncRNA       0.782 
      262        1:?   1:lncRNA       0.863 
      263        1:?   1:lncRNA       0.852 
      264        1:?   1:lncRNA       0.782 
      265        1:?   1:lncRNA       0.852 
      266        1:?   1:lncRNA       0.863 
      267        1:?   1:lncRNA       0.852 
      268        1:?   1:lncRNA       0.852 
      269        1:?   1:lncRNA       0.852 
      270        1:?     2:mRNA       1 
      271        1:?     2:mRNA       0.596 
      272        1:?   1:lncRNA       0.852 
      273        1:?   1:lncRNA       0.852 
      274        1:?     2:mRNA       0.596 
      275        1:?     2:mRNA       0.596 
      276        1:?   1:lncRNA       0.852 
      277        1:?   1:lncRNA       0.852 
      278        1:?     2:mRNA       0.596 
      279        1:?     2:mRNA       0.596 
      280        1:?     2:mRNA       0.596 
      281        1:?     2:mRNA       1 
      282        1:?     2:mRNA       0.596 
      283        1:?   1:lncRNA       0.852 
      284        1:?   1:lncRNA       0.852 
      285        1:?   1:lncRNA       0.782 
      286        1:?   1:lncRNA       0.852 
      287        1:?   1:lncRNA       0.697 
      288        1:?     2:mRNA       1 
      289        1:?   1:lncRNA       0.863 
      290        1:?     2:mRNA       1 
      291        1:?     2:mRNA       1 
      292        1:?     2:mRNA       1 
      293        1:?   1:lncRNA       0.863 
      294        1:?   1:lncRNA       0.852 
      295        1:?   1:lncRNA       0.852 
      296        1:?   1:lncRNA       0.852 
      297        1:?   1:lncRNA       0.852 
      298        1:?     2:mRNA       0.596 
      299        1:?   1:lncRNA       0.852 
      300        1:?   1:lncRNA       0.852 
      301        1:?   1:lncRNA       0.852 
      302        1:?   1:lncRNA       0.852 
      303        1:?   1:lncRNA       0.852 
      304        1:?   1:lncRNA       0.852 
      305        1:?   1:lncRNA       0.852 
      306        1:?   1:lncRNA       0.852 
      307        1:?   1:lncRNA       0.852 
      308        1:?   1:lncRNA       0.852 
      309        1:?   1:lncRNA       0.852 
      310        1:?   1:lncRNA       0.852 
      311        1:?     2:mRNA       1 
      312        1:?   1:lncRNA       0.852 
      313        1:?   1:lncRNA       0.852 
      314        1:?   1:lncRNA       0.852 
      315        1:?   1:lncRNA       0.863 
      316        1:?   1:lncRNA       0.852 
      317        1:?   1:lncRNA       0.852 
      318        1:?   1:lncRNA       0.852 
      319        1:?   1:lncRNA       0.852 
      320        1:?     2:mRNA       1 
      321        1:?     2:mRNA       1 
      322        1:?     2:mRNA       1 
      323        1:?     2:mRNA       1 
      324        1:?     2:mRNA       1 
      325        1:?     2:mRNA       1 
      326        1:?     2:mRNA       1 
      327        1:?   1:lncRNA       0.863 
      328        1:?     2:mRNA       1 
      329        1:?   1:lncRNA       0.852 
      330        1:?     2:mRNA       1 
      331        1:?     2:mRNA       1 
      332        1:?     2:mRNA       1 
      333        1:?     2:mRNA       1 
      334        1:?   1:lncRNA       0.863 
      335        1:?   1:lncRNA       0.852 
      336        1:?   1:lncRNA       0.852 
      337        1:?     2:mRNA       0.596 
      338        1:?   1:lncRNA       0.852 
      339        1:?   1:lncRNA       0.852 
      340        1:?   1:lncRNA       0.852 
      341        1:?   1:lncRNA       0.852 
      342        1:?   1:lncRNA       0.852 
      343        1:?   1:lncRNA       0.852 
      344        1:?   1:lncRNA       0.852 
      345        1:?   1:lncRNA       0.863 
      346        1:?     2:mRNA       1 
      347        1:?   1:lncRNA       0.852 
      348        1:?   1:lncRNA       0.863 
      349        1:?   1:lncRNA       0.863 
      350        1:?   1:lncRNA       0.863 
      351        1:?   1:lncRNA       0.782 
      352        1:?     2:mRNA       0.596 
      353        1:?   1:lncRNA       0.782 
      354        1:?     2:mRNA       1 
      355        1:?   1:lncRNA       0.852 
      356        1:?   1:lncRNA       0.782 
      357        1:?   1:lncRNA       0.782 
      358        1:?   1:lncRNA       0.782 
      359        1:?   1:lncRNA       0.863 
      360        1:?     2:mRNA       1 
      361        1:?   1:lncRNA       0.782 
      362        1:?   1:lncRNA       0.929 
      363        1:?   1:lncRNA       0.697 
      364        1:?   1:lncRNA       0.697 
      365        1:?   1:lncRNA       0.863 
      366        1:?   1:lncRNA       0.852 
      367        1:?   1:lncRNA       0.852 
      368        1:?   1:lncRNA       0.782 
      369        1:?   1:lncRNA       0.852 
      370        1:?   1:lncRNA       0.863 
      371        1:?   1:lncRNA       0.782 
      372        1:?   1:lncRNA       0.863 
      373        1:?   1:lncRNA       0.852 
      374        1:?   1:lncRNA       0.863 
      375        1:?   1:lncRNA       0.863 
      376        1:?     2:mRNA       1 
      377        1:?   1:lncRNA       0.863 
      378        1:?   1:lncRNA       0.852 
      379        1:?   1:lncRNA       0.863 
      380        1:?   1:lncRNA       0.852 
      381        1:?   1:lncRNA       0.782 
      382        1:?   1:lncRNA       0.863 
      383        1:?   1:lncRNA       0.782 
      384        1:?     2:mRNA       1 
      385        1:?     2:mRNA       1 
      386        1:?   1:lncRNA       0.863 
      387        1:?     2:mRNA       1 
      388        1:?     2:mRNA       1 
      389        1:?     2:mRNA       1 
      390        1:?     2:mRNA       1 
      391        1:?   1:lncRNA       0.782 
      392        1:?   1:lncRNA       0.782 
      393        1:?   1:lncRNA       0.782 
      394        1:?   1:lncRNA       0.863 
      395        1:?   1:lncRNA       0.863 
      396        1:?   1:lncRNA       0.852 
      397        1:?   1:lncRNA       0.852 
      398        1:?     2:mRNA       1 
      399        1:?   1:lncRNA       0.852 
      400        1:?   1:lncRNA       0.852 
      401        1:?     2:mRNA       1 
      402        1:?   1:lncRNA       0.782 
      403        1:?   1:lncRNA       0.782 
      404        1:?   1:lncRNA       0.852 
      405        1:?   1:lncRNA       0.852 
      406        1:?   1:lncRNA       0.782 
      407        1:?   1:lncRNA       0.863 
      408        1:?   1:lncRNA       0.863 
      409        1:?   1:lncRNA       0.863 
      410        1:?   1:lncRNA       0.782 
      411        1:?   1:lncRNA       0.863 
      412        1:?     2:mRNA       1 
      413        1:?   1:lncRNA       0.782 
      414        1:?   1:lncRNA       0.863 
      415        1:?   1:lncRNA       0.863 
      416        1:?     2:mRNA       1 
      417        1:?   1:lncRNA       0.852 
      418        1:?   1:lncRNA       0.863 
      419        1:?   1:lncRNA       0.852 
      420        1:?   1:lncRNA       0.852 
      421        1:?   1:lncRNA       0.852 
      422        1:?   1:lncRNA       0.852 
      423        1:?   1:lncRNA       0.852 
      424        1:?   1:lncRNA       0.863 
      425        1:?   1:lncRNA       0.863 
      426        1:?   1:lncRNA       0.863 
      427        1:?   1:lncRNA       0.863 
      428        1:?   1:lncRNA       0.852 
      429        1:?   1:lncRNA       0.863 
      430        1:?   1:lncRNA       0.863 
      431        1:?     2:mRNA       1 
      432        1:?     2:mRNA       0.596 
      433        1:?     2:mRNA       0.596 
      434        1:?   1:lncRNA       0.863 
      435        1:?   1:lncRNA       0.852 
      436        1:?   1:lncRNA       0.852 
      437        1:?   1:lncRNA       0.852 
      438        1:?   1:lncRNA       0.863 
      439        1:?   1:lncRNA       0.852 
      440        1:?   1:lncRNA       0.863 
      441        1:?   1:lncRNA       0.782 
      442        1:?   1:lncRNA       0.863 
      443        1:?   1:lncRNA       0.852 
      444        1:?   1:lncRNA       0.782 
      445        1:?   1:lncRNA       0.852 
      446        1:?   1:lncRNA       0.852 
      447        1:?     2:mRNA       1 
      448        1:?   1:lncRNA       0.852 
      449        1:?   1:lncRNA       0.852 
      450        1:?   1:lncRNA       0.852 
      451        1:?   1:lncRNA       0.863 
      452        1:?     2:mRNA       1 
      453        1:?     2:mRNA       1 
      454        1:?     2:mRNA       1 
      455        1:?   1:lncRNA       0.863 
      456        1:?     2:mRNA       1 
      457        1:?   1:lncRNA       0.863 
      458        1:?   1:lncRNA       0.863 
      459        1:?   1:lncRNA       0.852 
      460        1:?   1:lncRNA       0.852 
      461        1:?   1:lncRNA       0.697 
      462        1:?     2:mRNA       1 
      463        1:?   1:lncRNA       0.852 
      464        1:?     2:mRNA       1 
      465        1:?   1:lncRNA       0.863 
      466        1:?   1:lncRNA       0.852 
      467        1:?   1:lncRNA       0.852 
      468        1:?   1:lncRNA       0.852 
      469        1:?   1:lncRNA       0.852 
      470        1:?   1:lncRNA       0.852 
      471        1:?   1:lncRNA       0.852 
      472        1:?   1:lncRNA       0.852 
      473        1:?     2:mRNA       1 
      474        1:?     2:mRNA       1 
      475        1:?   1:lncRNA       0.863 
      476        1:?   1:lncRNA       0.852 
      477        1:?     2:mRNA       1 
      478        1:?     2:mRNA       1 
      479        1:?   1:lncRNA       0.852 
      480        1:?   1:lncRNA       0.852 
      481        1:?   1:lncRNA       0.825 
      482        1:?   1:lncRNA       0.825 
      483        1:?   1:lncRNA       0.825 
      484        1:?   1:lncRNA       0.782 
      485        1:?   1:lncRNA       0.852 
      486        1:?   1:lncRNA       0.782 
      487        1:?   1:lncRNA       0.697 
      488        1:?   1:lncRNA       0.697 
      489        1:?     2:mRNA       0.596 
      490        1:?     2:mRNA       0.596 
      491        1:?   1:lncRNA       0.697 
      492        1:?   1:lncRNA       0.782 
      493        1:?   1:lncRNA       0.863 
      494        1:?   1:lncRNA       0.852 
      495        1:?     2:mRNA       0.596 
      496        1:?   1:lncRNA       0.852 
      497        1:?   1:lncRNA       0.763 
      498        1:?   1:lncRNA       0.763 
      499        1:?   1:lncRNA       0.863 
      500        1:?   1:lncRNA       0.852 
      501        1:?     2:mRNA       1 
      502        1:?   1:lncRNA       0.852 
      503        1:?   1:lncRNA       0.863 
      504        1:?   1:lncRNA       0.782 
      505        1:?   1:lncRNA       0.852 
      506        1:?   1:lncRNA       0.852 
      507        1:?   1:lncRNA       0.852 
      508        1:?   1:lncRNA       0.852 
      509        1:?   1:lncRNA       0.852 
      510        1:?   1:lncRNA       0.852 
      511        1:?   1:lncRNA       0.852 
      512        1:?   1:lncRNA       0.852 
      513        1:?   1:lncRNA       0.852 
      514        1:?   1:lncRNA       0.852 
      515        1:?   1:lncRNA       0.852 
      516        1:?   1:lncRNA       0.852 
      517        1:?   1:lncRNA       0.863 
      518        1:?     2:mRNA       1 
      519        1:?   1:lncRNA       0.863 
      520        1:?   1:lncRNA       0.863 
      521        1:?   1:lncRNA       0.863 
      522        1:?     2:mRNA       1 
      523        1:?   1:lncRNA       0.852 
      524        1:?   1:lncRNA       0.863 
      525        1:?   1:lncRNA       0.852 
      526        1:?   1:lncRNA       0.852 
      527        1:?     2:mRNA       0.596 
      528        1:?   1:lncRNA       0.852 
      529        1:?     2:mRNA       1 
      530        1:?   1:lncRNA       0.852 
      531        1:?   1:lncRNA       0.863 
      532        1:?   1:lncRNA       0.863 
      533        1:?   1:lncRNA       0.852 
      534        1:?     2:mRNA       0.596 
      535        1:?   1:lncRNA       0.852 
      536        1:?   1:lncRNA       0.852 
      537        1:?   1:lncRNA       0.852 
      538        1:?   1:lncRNA       0.852 
      539        1:?     2:mRNA       0.596 
      540        1:?     2:mRNA       0.596 
      541        1:?   1:lncRNA       0.825 
      542        1:?   1:lncRNA       0.852 
      543        1:?   1:lncRNA       0.863 
      544        1:?   1:lncRNA       0.852 
      545        1:?   1:lncRNA       0.852 
      546        1:?     2:mRNA       1 
      547        1:?     2:mRNA       1 
      548        1:?     2:mRNA       1 
